127.0.0.1 - - [29/Oct/2019:10:41:32 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [29/Oct/2019:10:41:33 +0900] "GET /WebJSP/Ex17_Cookie_Basic.jsp HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [29/Oct/2019:10:41:33 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [29/Oct/2019:10:56:44 +0900] "GET /WebJSP/Ex18_File_Cookie_Write.jsp HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [29/Oct/2019:10:56:53 +0900] "GET /WebJSP/Ex18_File_Cookie_read.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [29/Oct/2019:10:56:56 +0900] "GET /WebJSP/Ex18_File_Cookie_read.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [29/Oct/2019:10:56:57 +0900] "GET /WebJSP/Ex18_File_Cookie_read.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [29/Oct/2019:10:56:57 +0900] "GET /WebJSP/Ex18_File_Cookie_read.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [29/Oct/2019:10:56:58 +0900] "GET /WebJSP/Ex18_File_Cookie_read.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [29/Oct/2019:10:56:58 +0900] "GET /WebJSP/Ex18_File_Cookie_read.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [29/Oct/2019:10:56:59 +0900] "GET /WebJSP/Ex18_File_Cookie_read.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [29/Oct/2019:10:56:59 +0900] "GET /WebJSP/Ex18_File_Cookie_read.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [29/Oct/2019:10:56:59 +0900] "GET /WebJSP/Ex18_File_Cookie_read.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [29/Oct/2019:10:56:59 +0900] "GET /WebJSP/Ex18_File_Cookie_read.jsp HTTP/1.1" 200 273
